Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1944,14.7,18.8,25.1,37.3,39.9,41.7,45.0,49.0,75.9
1945,13.7,15.5,19.8,27.2,31.5,33.8,42.9,45.2,48.3
1946,5.6,6.1,7.1,8.6,10.2,14.2,20.6,21.3,25.1
1947,8.4,11.4,13.5,19.6,22.1,28.2,45.0,45.0,45.2
1948,9.1,11.7,13.2,17.3,30.5,33.3,33.3,36.6,37.3
1951,5.8,6.1,9.1,15.7,16.0,17.8,21.1,21.1,36.3
1952,9.1,17.8,22.4,28.4,29.2,43.7,43.7,43.7,43.7
1953,10.2,15.5,19.3,24.6,30.2,31.2,41.7,43.4,43.4
1954,9.7,12.2,12.7,16.0,18.3,21.1,25.9,28.7,35.8
1956,6.1,9.7,13.5,17.8,18.3,18.3,29.2,33.8,55.1
1958,8.9,10.9,15.7,17.8,18.5,19.8,35.8,50.3,67.1
1959,9.4,15.5,18.8,19.6,19.6,22.4,37.6,42.2,44.7
1960,4.3,5.6,7.4,8.1,8.1,11.7,27.9,32.8,41.1
1961,6.1,8.6,10.2,13.2,17.3,19.8,21.8,26.4,34.0
1962,11.2,14.7,19.6,27.4,35.8,56.1,82.3,83.1,83.8
1963,7.6,11.9,16.5,18.5,21.1,24.1,38.9,50.5,52.8
1964,6.9,12.2,17.5,22.4,33.5,36.8,38.1,52.3,59.2
1965,6.1,9.1,11.7,14.5,15.7,16.8,17.8,21.1,30.2
1966,9.1,12.7,15.2,22.6,37.8,64.0,68.3,73.2,76.2
1967,12.2,24.1,25.9,31.7,33.0,57.9,63.2,63.5,63.5
1968,17.8,24.6,35.3,39.4,39.4,39.4,48.3,61.2,84.3
1969,7.1,10.4,12.7,15.2,21.8,23.4,25.4,39.1,49.3
1970,11.2,20.8,29.0,37.8,41.1,49.8,54.9,60.5,62.2
1971,4.6,6.1,8.4,11.7,14.5,19.8,25.4,29.0,31.0
1972,9.1,16.5,20.3,35.6,35.6,35.8,35.8,35.8,35.8
1973,6.3,10.4,14.5,19.8,29.7,40.4,45.7,45.7,45.7
1974,9.4,16.3,18.8,25.1,28.7,33.0,37.1,38.9,55.4
1975,9.4,14.5,17.8,22.6,27.9,27.9,44.7,53.8,54.4
1976,15.0,15.7,18.0,21.8,22.1,24.1,26.2,33.3,42.7
1977,7.4,12.4,15.2,19.8,21.6,32.5,50.3,57.7,61.7
1978,10.6,17.6,21.6,24.5,28.0,41.7,52.6,52.6,60.4
1979,10.6,19.1,25.4,36.3,39.3,39.8,40.7,40.7,40.7
1980,7.4,8.8,10.4,15.0,19.3,24.5,25.6,26.6,30.5
1981,10.6,12.4,15.9,18.2,24.1,29.0,53.3,53.4,63.0
1982,8.6,13.0,16.2,22.6,22.7,22.7,32.5,34.9,36.8
1983,13.2,17.2,19.3,23.2,28.0,30.9,51.9,52.3,52.3
1984,12.6,19.0,22.8,39.5,56.2,56.9,60.2,69.5,69.7
1985,5.0,7.3,9.3,12.4,18.4,33.1,61.5,84.0,97.4
1986,10.0,11.8,13.9,16.7,18.5,19.7,28.7,35.4,41.6
1987,7.1,9.0,10.4,20.8,24.8,36.6,46.2,57.2,57.3
1988,7.9,15.8,18.5,22.7,34.8,36.9,39.7,49.7,49.7
1989,4.4,7.7,10.4,12.3,14.1,16.2,34.6,41.1,53.5
1990,9.8,12.7,16.2,19.0,22.0,22.0,22.0,22.5,36.9
1991,11.6,16.4,18.0,18.2,19.3,31.2,43.1,43.5,64.0
1992,8.6,10.2,11.2,17.2,18.0,19.3,21.2,25.2,35.6
1993,6.2,12.4,18.6,29.0,41.6,70.1,72.2,78.4,87.4
1994,8.8,13.1,15.4,24.2,32.2,55.5,67.0,68.2,68.2
1995,7.5,9.9,12.0,18.0,23.0,23.4,35.6,44.0,63.9
1996,8.1,16.1,21.9,43.8,58.6,58.6,58.8,58.8,58.8
2007,9.0,14.6,17.0,19.2,20.0,21.0,23.2,28.0,28.4
2008,4.4,7.2,9.2,14.4,21.2,27.4,39.2,44.8,60.6
2009,12.6,18.8,20.8,29.0,31.0,32.2,40.6,45.2,47.4
2010,10.6,19.2,26.0,37.4,42.6,43.2,43.6,50.6,61.6
2011,11.0,18.0,21.0,21.4,21.4,21.4,21.4,33.0,34.4
2012,7.6,10.2,11.2,14.8,17.4,19.2,21.0,21.0,34.4
2013,8.6,12.4,14.4,17.2,23.0,27.4,30.6,31.6,31.6
2016,5.4,8.4,10.8,17.6,20.0,21.0,21.0,21.2,21.8
