Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1966,11.7,14.0,15.0,17.0,17.8,28.2,39.9,40.1,43.4
1967,11.9,15.2,20.8,24.9,25.4,34.3,39.6,39.6,40.1
1968,10.4,17.5,18.5,22.9,33.0,54.9,70.1,73.2,83.1
1969,8.6,14.2,16.8,19.8,19.8,35.3,55.9,56.4,56.4
1970,7.1,11.9,14.7,19.6,27.9,39.9,62.0,64.3,67.8
1971,5.8,10.2,15.2,17.0,17.0,22.4,27.9,31.7,31.7
1972,7.9,9.9,11.2,14.7,14.7,15.5,26.2,40.1,56.6
1974,6.1,7.9,10.4,10.4,10.9,14.0,24.9,35.1,46.5
1975,9.1,14.0,18.3,22.6,29.5,34.3,40.4,51.3,55.1
1976,15.2,16.0,17.3,17.3,17.3,18.0,38.1,56.4,61.0
1977,10.9,18.5,21.6,24.9,27.7,30.0,41.9,43.7,43.7
1978,5.2,7.2,9.4,15.9,20.2,37.2,43.0,43.0,48.1
1979,6.0,10.1,14.1,14.1,15.7,15.8,30.3,44.0,46.4
1980,9.7,13.1,17.4,21.3,27.3,33.9,38.0,38.0,38.0
1981,,,,41.4,41.6,44.5,56.9,59.8,88.2
1982,8.0,11.3,13.8,17.2,20.6,22.4,46.7,48.0,48.0
1983,12.2,20.4,26.1,40.2,43.2,79.2,135.2,141.1,142.8
1984,9.3,10.5,10.9,14.9,17.7,18.7,36.0,40.6,44.8
1985,6.0,12.0,17.3,23.5,31.4,35.8,37.4,38.2,40.9
1986,8.9,13.9,19.0,27.7,37.6,44.6,51.8,68.9,106.6
1987,6.7,11.4,12.6,20.2,30.4,33.3,38.2,38.2,38.2
1988,7.6,11.3,14.5,20.2,22.3,28.2,34.2,41.2,47.4
1989,8.8,9.6,11.8,13.2,13.4,16.9,21.7,39.4,41.6
1990,8.5,13.7,17.2,27.3,34.7,53.9,72.6,72.6,72.6
1991,7.2,10.9,15.7,19.4,19.4,19.7,26.0,26.4,26.7
1992,10.8,16.6,18.4,24.1,27.1,35.4,40.4,42.0,61.0
1993,7.0,9.9,10.6,12.1,17.6,18.5,,,43.7
1994,13.4,16.3,16.9,17.3,17.5,19.4,32.4,43.7,44.6
1995,16.1,21.0,28.2,31.0,33.5,36.9,39.5,46.0,47.8
1996,5.7,9.1,13.2,14.9,15.3,16.8,29.4,47.1,59.8
1997,7.1,10.0,11.0,11.5,15.0,18.8,26.1,26.5,32.8
1998,6.1,10.2,12.0,12.8,14.5,15.6,17.5,30.2,40.2
2000,11.3,18.5,27.2,38.7,44.9,48.8,94.0,101.0,101.0
2001,9.8,10.0,10.6,14.1,15.3,15.3,20.4,24.0,35.8
2002,12.0,20.6,24.1,41.6,65.2,96.1,107.2,135.2,136.0
2003,5.8,11.1,14.7,18.3,19.8,23.2,28.1,33.7,39.2
2004,9.8,15.8,21.8,25.1,28.6,30.4,35.7,36.1,51.1
