Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1967,5.8,10.4,13.0,15.5,20.6,25.1,28.4,33.3,34.0
1968,3.6,6.1,6.6,6.6,9.1,13.0,20.1,30.5,38.9
1969,5.3,8.4,11.7,16.8,24.1,35.3,62.2,81.3,91.7
1970,18.3,27.9,33.8,37.1,39.6,39.6,39.6,39.6,45.2
1971,2.5,4.1,6.1,11.4,12.7,12.7,31.2,43.4,45.2
1972,6.1,9.1,9.1,11.9,14.0,18.5,37.1,45.7,46.0
1973,7.6,11.4,14.5,18.8,19.6,25.1,37.3,48.8,59.4
1974,3.6,5.1,6.9,10.4,13.7,16.0,21.6,29.0,38.9
1975,5.1,8.1,10.2,16.0,17.0,17.3,34.3,35.1,35.6
1976,3.3,5.8,7.4,10.9,13.7,16.3,19.0,31.5,35.3
1978,5.1,5.3,5.5,7.0,8.6,11.0,16.3,21.0,24.2
1979,3.0,5.1,7.1,7.1,7.1,10.1,16.2,26.1,31.9
1980,2.9,5.7,6.5,9.9,11.4,15.6,22.9,35.0,42.1
1981,,,,,8.3,16.4,26.0,31.5,46.2
1982,2.5,3.5,5.0,6.5,10.8,14.6,25.9,34.0,39.7
1983,3.1,6.2,9.3,10.3,14.6,25.4,47.5,54.2,57.1
1984,4.1,5.5,7.6,10.4,15.1,18.2,24.4,30.0,40.4
1985,4.8,6.2,8.7,13.5,14.7,19.0,41.7,46.2,47.1
1986,2.6,3.3,4.0,5.8,10.2,16.4,35.0,44.4,60.3
1987,3.6,5.8,6.3,9.3,11.8,12.4,19.0,27.9,30.7
1988,3.2,4.9,6.0,7.3,13.0,16.2,21.4,27.2,40.0
1989,4.2,8.0,9.8,17.8,25.4,34.8,40.6,56.6,59.0
1990,3.9,4.9,5.6,7.6,9.8,14.1,26.4,31.1,51.5
1991,4.0,4.7,5.1,5.7,8.6,12.3,29.6,33.3,40.5
1992,4.6,6.0,6.5,7.4,8.2,13.2,32.3,50.5,58.5
1993,7.2,12.1,17.4,19.2,19.2,19.2,35.3,37.8,47.6
1994,3.8,5.1,6.6,9.5,11.2,19.7,37.2,43.9,63.5
1995,3.5,6.1,6.5,9.4,17.2,23.5,42.4,53.3,70.4
