Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1979,3.8,3.8,3.8,3.8,5.6,6.7,11.3,14.1,18.9
1980,2.5,3.1,3.5,5.7,6.1,10.1,11.8,13.3,14.8
1981,,,,,7.4,13.2,14.4,15.0,15.4
1982,2.3,3.1,3.3,4.6,4.6,6.4,9.1,14.3,18.0
1983,2.0,2.0,2.4,2.8,4.6,5.9,10.4,13.4,20.2
1984,2.4,2.8,3.5,4.0,4.8,7.5,11.1,13.4,14.2
1985,5.0,7.6,7.6,7.6,7.6,7.6,12.8,15.6,20.7
1986,1.7,2.6,3.2,4.3,6.1,9.3,9.3,10.7,20.4
1987,1.8,2.2,2.9,3.7,6.1,9.8,16.2,20.0,22.2
1988,2.3,3.5,4.8,7.8,8.9,9.6,11.2,11.8,16.4
1989,3.0,5.0,6.2,9.3,10.5,10.6,13.2,13.8,16.2
1990,2.2,3.6,5.3,7.8,9.8,10.0,11.3,13.7,20.7
1991,3.2,3.8,4.1,5.8,5.8,8.2,14.0,14.4,20.2
1992,3.3,4.8,6.0,6.0,6.3,9.0,18.0,18.2,18.2
1993,2.1,2.7,2.8,2.8,2.9,4.6,,,20.2
1994,3.6,4.1,4.1,4.1,5.2,6.2,,,13.9
1995,2.0,2.6,3.5,4.6,5.2,7.5,8.6,10.2,12.5
1996,1.6,1.8,2.3,3.7,6.3,10.6,15.0,25.4,35.0
1997,2.7,4.6,5.4,5.8,6.2,9.7,15.1,16.2,26.7
1998,3.5,5.8,6.6,6.6,6.6,7.0,10.1,11.0,11.2
1999,7.9,9.4,10.2,11.3,12.3,13.1,15.1,21.3,22.8
2000,2.0,2.4,3.2,4.1,6.5,8.0,,,16.4
2006,3.9,4.8,5.5,6.4,10.1,10.5,11.8,12.0,14.4
2009,2.2,3.4,4.4,5.1,6.2,7.7,9.5,13.1,14.9
2010,6.4,6.7,7.0,8.1,9.1,10.0,13.6,13.7,16.5
2012,1.8,2.7,3.4,4.2,5.6,7.0,9.4,13.9,20.5
2013,2.7,5.0,5.2,8.0,9.3,10.5,13.9,18.7,22.8
2015,7.4,13.1,15.1,17.5,18.6,18.8,19.3,19.3,21.6
2016,5.1,6.0,7.8,8.0,8.0,8.2,9.4,14.0,17.1
