Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,6.6,7.9,8.4,8.4,9.7,16.0,33.8,44.4,49.3
1970,3.0,6.1,7.1,9.1,10.2,12.2,21.6,27.9,29.5
1971,3.0,4.6,5.8,7.1,8.9,10.2,13.5,20.6,28.2
1972,4.8,5.6,5.8,6.6,10.7,17.5,26.4,31.0,32.8
1973,4.6,8.4,10.7,12.2,13.7,14.0,21.8,30.7,35.1
1974,3.8,5.6,5.8,6.1,7.1,9.7,12.7,18.8,29.5
1975,4.3,5.1,5.3,6.1,9.1,16.5,35.8,53.3,59.9
1976,5.1,7.4,8.1,9.4,11.2,11.7,19.6,30.7,38.1
1978,3.7,5.3,5.8,5.8,8.2,12.4,21.9,38.4,48.7
1979,5.9,6.1,7.3,10.2,11.8,16.5,29.0,33.7,36.8
1980,2.9,5.2,7.9,13.3,16.0,18.7,20.0,25.6,29.7
1981,5.8,7.7,10.1,14.3,14.4,16.1,16.9,25.4,39.4
1982,3.4,3.6,5.1,8.6,14.3,18.4,20.4,24.2,38.6
1983,3.7,3.7,3.7,6.7,8.6,10.3,18.3,20.7,22.7
1984,4.9,6.2,8.1,10.3,11.0,13.7,23.7,32.4,43.6
1985,4.4,4.8,5.1,7.5,8.1,11.5,14.2,22.3,30.9
1986,8.3,11.7,13.5,14.7,15.0,15.2,23.9,28.2,48.5
1987,9.6,15.7,18.4,20.2,20.2,21.2,26.0,27.6,33.1
1988,3.7,3.9,4.8,6.8,7.5,9.7,15.3,24.2,34.6
1989,6.3,8.0,12.0,16.0,17.2,17.4,18.4,24.7,29.3
1990,8.6,10.1,10.6,13.3,13.3,13.3,16.5,26.1,36.3
1991,2.1,3.6,5.1,7.4,9.8,16.4,29.8,34.8,34.8
1992,2.0,2.5,3.3,3.8,5.1,8.9,16.6,20.1,25.5
