Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1961,6.1,10.4,10.9,12.2,19.0,19.0,34.5,53.1,61.7
1962,7.6,11.7,13.2,19.8,25.4,29.7,62.5,63.5,71.4
1963,10.4,16.8,19.0,20.8,24.4,27.9,37.6,48.0,53.3
1964,5.8,6.6,9.4,13.5,19.0,25.4,28.2,29.5,51.8
1965,8.9,10.4,15.7,17.8,20.3,22.1,36.1,40.4,44.4
1966,7.4,8.6,9.1,9.7,13.2,18.0,24.4,39.4,46.7
1967,7.6,13.0,17.8,20.8,21.3,22.9,40.6,42.2,56.1
1968,6.3,10.4,11.4,11.4,11.9,18.5,31.0,42.2,49.5
1969,7.6,10.2,14.7,17.8,23.4,26.7,39.9,53.3,59.7
1970,4.8,7.6,8.6,10.7,18.3,21.1,31.0,36.1,48.5
1971,8.6,10.2,14.0,22.6,26.7,27.9,39.1,47.0,60.5
1972,6.3,11.2,12.4,16.3,20.6,29.5,33.0,37.6,69.3
1973,10.4,17.3,19.8,26.7,34.3,36.6,49.0,56.6,63.5
1974,8.1,11.7,12.7,18.0,20.3,24.9,38.1,38.1,63.2
1975,7.9,15.7,17.8,24.6,24.6,25.9,42.2,45.5,50.8
1976,9.9,11.7,11.9,12.4,19.6,24.1,24.1,33.8,44.4
1977,6.1,7.9,9.4,9.9,14.0,22.4,40.1,49.0,54.6
1978,7.8,8.3,8.6,12.0,21.8,27.8,43.0,50.2,78.9
1979,16.5,17.8,20.4,40.1,59.9,77.9,78.0,81.2,81.2
1980,7.8,11.0,13.9,19.4,35.7,49.8,57.8,58.8,58.8
1981,11.0,12.9,16.6,20.6,24.7,31.8,55.3,69.3,79.0
1982,8.5,10.0,10.3,11.7,13.3,23.5,41.2,44.7,44.7
1983,3.6,5.5,6.0,11.2,12.9,13.9,24.2,34.0,50.0
1984,5.5,7.7,10.1,12.1,13.3,18.4,41.1,50.1,61.9
1985,9.2,14.4,17.7,25.7,28.4,34.6,40.8,56.1,62.6
1986,8.0,14.9,16.8,20.0,23.3,27.3,37.2,54.0,72.2
1987,6.6,12.4,17.5,24.2,24.7,32.8,39.4,46.2,73.3
1988,4.1,8.2,11.6,16.9,18.8,20.7,28.2,35.7,45.6
1989,9.4,15.7,22.2,30.2,41.0,41.5,42.3,48.6,53.4
1990,6.8,12.2,15.0,20.7,27.1,27.7,36.4,53.2,54.4
1991,5.5,8.0,11.3,18.0,19.7,19.8,19.8,19.8,29.2
1992,5.4,8.0,9.5,12.6,16.8,18.1,34.9,46.6,57.0
1993,7.4,10.0,13.4,19.9,20.1,22.7,25.3,34.3,50.2
1994,5.7,9.6,12.3,17.1,17.1,19.3,29.2,37.0,38.8
1995,9.4,13.1,15.7,16.4,18.9,22.7,36.2,40.3,44.0
2005,7.0,9.8,12.2,13.2,18.2,27.8,53.6,82.0,105.4
2006,8.2,11.2,13.0,15.4,16.8,19.0,30.8,36.2,48.2
2007,9.0,13.4,16.8,22.8,24.2,26.0,36.0,48.6,55.0
2008,10.0,15.8,20.0,26.2,37.6,39.6,47.2,53.6,57.8
2009,10.0,17.8,24.2,28.2,32.4,33.2,34.2,34.6,50.0
2010,8.8,12.2,13.6,14.0,15.2,22.0,25.0,38.8,40.8
2011,13.4,14.2,14.8,15.6,17.6,26.2,35.2,51.4,53.4
2012,10.4,18.0,22.8,32.8,44.8,50.4,61.6,62.4,63.2
2013,8.4,13.4,18.6,21.8,28.0,46.2,48.0,48.0,48.6
2014,8.2,12.0,14.0,14.2,15.8,21.0,33.4,55.6,80.4
2015,7.6,9.6,10.2,11.8,12.6,21.0,47.2,63.4,71.4
